id_pedido,data_pedido,hora_pedido,cpf_cliente,telefone,segmento,produto,canal_venda,regiao,campanha,status_pedido,valor_plano,valor_fraude_estimado,qtd_sms_mes,media_historica_sms,variacao_sms_pct,uso_dados_gb,qtd_chargeback,score_credito,score_fraude,flag_fraude,tipo_fraude,em_blacklist,historico_fraudes_anteriores,regra_disparada,analista_responsavel,status_tratativa,data_fechamento,custo_operacional,mes_referencia,flag_novo_cliente,dias_desde_ativacao,qtd_linhas_ativas
PD-1000042,2026-02-03,23:19:08,972.521.752-50,(11) 997584194,Claro Residencial,CNPJ Avançado,APP,RS,REC-100 - FPD,PENDENTE,299.9,0.0,15,4.4,240.9,19.9,0,607,0.03,0,,0,0,,Carlos M.,,,0.0,2026-02,0,866,1
PD-1000043,2026-01-25,23:19:08,652.132.833-89,(85) 998927083,Claro Empresas,TV Plus,RETENÇÃO,CE,REC-100 - FPD,CANCELADO,149.9,690.17,20,8.2,143.9,3.39,0,859,0.735,1,Fraude de Identidade,0,0,CTR-12,Carlos M.,Fechada,,66.76,2026-01,0,513,3
PD-1000044,2025-08-23,23:19:08,054.119.986-79,(85) 990688246,NET,Fibra 1GB,LOJA FÍSICA,PE,,APROVADO,299.9,0.0,17,7.0,142.9,12.65,0,792,0.262,0,,0,0,,Pedro R.,,,0.0,2025-08,1,1680,5
PD-1000045,2025-10-28,23:19:08,861.515.542-34,(11) 991643275,Claro TV,TV HD,RETENÇÃO,BA,REC-100 - FPD,BLOQUEADO,199.9,0.0,18,14.3,25.9,9.56,0,613,0.313,0,,0,0,,Juliana S.,,,0.0,2025-10,1,1756,6
PD-1000046,2025-10-19,23:19:08,280.156.193-18,(41) 998159855,NET,Pré-Pago,TELEVENDAS B2C,RS,REC-100 - FPD,APROVADO,199.9,0.0,9,6.6,36.4,2.03,0,674,0.124,0,,0,0,,Carlos M.,,,0.0,2025-10,0,1383,7
PD-1000047,2025-06-29,23:19:08,771.694.722-56,(62) 999590487,Claro Móvel,Pré-Pago,TELEVENDAS B2C,BA,REC-100 - FPD,CANCELADO,299.9,743.06,15,7.6,97.4,14.19,0,536,0.796,1,Conta Mula,0,0,CTR-12,Carlos M.,Em andamento,2025-07-03,27.54,2025-06,0,1745,5
PD-1000048,2025-12-15,23:19:08,618.632.397-91,(41) 998294239,NET,Controle,E-COMMERCE,CE,,APROVADO,299.9,0.0,0,9.2,-100.0,3.06,0,894,0.343,0,,0,0,,,,,0.0,2025-12,1,1792,2
PD-1000049,2026-01-15,23:19:08,350.488.899-21,(11) 997723723,Claro Empresas,Fibra 500MB,RETENÇÃO,PR,,CANCELADO,299.9,0.0,8,14.9,-46.3,9.48,0,579,0.315,0,,0,0,,Juliana S.,,,0.0,2026-01,1,1496,2
PD-1000050,2025-04-22,23:19:08,749.735.020-80,(31) 991715864,Claro Residencial,TV Plus,LOJA FÍSICA,RS,,CANCELADO,299.9,3158.06,13,9.2,41.3,7.57,0,637,0.766,1,Conta Mula,0,0,CTR-30,Ana L.,Fechada,,190.12,2025-04,1,262,2
PD-1000051,2026-03-16,23:19:08,321.119.787-18,(11) 993332271,Claro Residencial,TV Plus,LOJA FÍSICA,MG,,APROVADO,299.9,0.0,8,10.5,-23.8,1.9,0,803,0.133,0,,0,0,,Pedro R.,,,0.0,2026-03,0,694,3
PD-1000052,2025-05-04,23:19:08,278.469.973-35,(51) 999567650,Claro Móvel,Pré-Pago,TELEVENDAS B2C,RS,,CANCELADO,499.9,4251.1,17,11.3,50.4,12.68,0,722,0.747,1,Conta Mula,0,0,CTR-12,Juliana S.,,,85.65,2025-05,1,1361,5
PD-1000053,2025-12-01,23:19:08,367.303.718-37,(71) 995236326,Claro Residencial,Controle,TELEVENDAS B2C,PR,REC-100 - FPD,APROVADO,499.9,0.0,12,12.5,-4.0,14.02,0,581,0.199,0,,0,0,,Carlos M.,,,0.0,2025-12,0,793,4
PD-1000054,2025-08-03,23:19:08,585.149.368-99,(85) 990440466,Claro TV,CNPJ Avançado,TELEVENDAS B2C,DF,REC-200 - Automático,PENDENTE,79.9,314.36,7,8.6,-18.6,7.17,0,836,0.988,0,,0,0,CTR-30,Carlos M.,Aberta,,174.01,2025-08,0,1517,2
PD-1000055,2025-04-30,23:19:08,111.428.178-52,(31) 998953284,NET,TV HD,RETENÇÃO,RJ,PROMO-500 - Móvel,APROVADO,79.9,0.0,2,5.8,-65.5,17.01,0,625,0.185,0,,0,0,,Pedro R.,,,0.0,2025-04,0,110,4
PD-1000056,2025-09-27,23:19:08,519.053.486-40,(21) 990921287,Claro Móvel,TV HD,APP,RS,,APROVADO,199.9,0.0,17,10.0,70.0,3.04,0,840,0.163,0,,0,0,,Ana L.,,,0.0,2025-09,0,1029,5
PD-1000057,2025-10-09,23:19:08,694.439.164-97,(11) 991922848,Claro Empresas,Combo Família,APP,BA,,APROVADO,29.9,0.0,16,13.4,19.4,15.75,0,802,0.209,0,,0,0,,Juliana S.,,,0.0,2025-10,0,273,8
PD-1000058,2025-08-13,23:19:08,234.456.557-43,(21) 993400953,NET,CNPJ Básico,TELEVENDAS B2C,RJ,,APROVADO,299.9,2643.68,2,14.8,-86.5,17.38,2,227,0.662,1,Chargeback,1,4,CTR-74,,Em andamento,,40.92,2025-08,1,1164,2
PD-1000059,2025-05-22,23:19:08,269.448.695-94,(71) 993417412,Claro Empresas,TV HD,E-COMMERCE,BA,,APROVADO,29.9,0.0,18,3.4,429.4,4.99,0,782,0.288,0,,0,0,,Ana L.,,,0.0,2025-05,1,249,1
PD-1000060,2025-04-02,23:19:08,116.868.548-70,(62) 999857890,Claro Residencial,Plano Família,TELEVENDAS B2C,CE,CAMP-VIP,APROVADO,49.9,0.0,16,7.1,125.4,8.33,0,900,0.016,0,,0,0,,Juliana S.,,,0.0,2025-04,1,1122,2
PD-1000061,2025-06-30,23:19:08,397.524.508-64,(11) 993842150,Claro TV,Fibra 1GB,E-COMMERCE,PR,,APROVADO,49.9,373.55,9,10.1,-10.9,18.64,7,675,0.955,1,Chargeback,0,0,CTR-42,,Em andamento,2025-07-10,87.65,2025-06,0,648,2
PD-1000062,2025-03-27,23:19:08,858.842.474-51,(81) 991263313,Claro Residencial,CNPJ Avançado,E-COMMERCE,RJ,,PENDENTE,149.9,0.0,5,12.4,-59.7,1.07,0,886,0.266,0,,0,0,,,,,0.0,2025-03,0,1709,2
PD-1000063,2025-04-05,23:19:08,620.303.662-54,(41) 996454929,Claro Móvel,Fibra 1GB,RETENÇÃO,SP-Interior,REC-100 - FPD,PENDENTE,299.9,0.0,13,2.0,550.0,6.1,0,751,0.237,0,,0,0,,Carlos M.,,,0.0,2025-04,0,461,5
PD-1000064,2025-11-09,23:19:08,959.310.341-31,(71) 994663623,Claro Empresas,Fibra 500MB,E-COMMERCE,PE,REC-200 - Automático,APROVADO,29.9,0.0,18,9.7,85.6,6.11,0,825,0.288,0,,0,0,,Juliana S.,,,0.0,2025-11,0,415,5
PD-1000065,2025-06-06,23:19:08,818.804.428-77,(41) 998651395,NET,TV Plus,APP,MG,,APROVADO,99.9,0.0,12,12.0,0.0,12.53,0,693,0.148,0,,0,0,,,,,0.0,2025-06,0,1159,2
PD-1000066,2025-12-21,23:19:08,686.270.369-24,(62) 992614824,NET,Combo Família,E-COMMERCE,BA,,APROVADO,49.9,0.0,18,6.1,195.1,9.15,0,794,0.136,0,,0,0,,Carlos M.,,,0.0,2025-12,0,485,3
PD-1000067,2025-05-09,23:19:08,808.313.678-37,(81) 997519121,Claro Residencial,Fibra 1GB,LOJA FÍSICA,SP-Capital,REC-100 - FPD,APROVADO,79.9,0.0,16,12.6,27.0,11.97,0,547,0.338,0,,0,0,,,,,0.0,2025-05,0,1559,6
PD-1000068,2025-05-02,23:19:08,616.484.085-88,(81) 998167227,NET,Fibra 500MB,LOJA FÍSICA,SP-Capital,PROMO-500 - Móvel,APROVADO,49.9,0.0,3,7.4,-59.5,9.75,0,651,0.34,0,,0,0,,Juliana S.,,,0.0,2025-05,0,1606,2
PD-1000069,2025-12-28,23:19:08,152.064.361-10,(41) 997999489,Claro Empresas,Pré-Pago,LOJA FÍSICA,SP-Interior,,APROVADO,79.9,610.02,4,3.5,14.3,9.28,0,567,0.787,0,,0,0,CTR-12,Juliana S.,Aberta,,177.51,2025-12,0,542,6
PD-1000070,2025-06-01,23:19:08,228.777.251-99,(71) 996496727,Claro Móvel,TV Plus,LOJA FÍSICA,MG,,APROVADO,79.9,0.0,1,11.9,-91.6,7.06,0,702,0.137,0,,0,0,,Ana L.,,,0.0,2025-06,0,752,8
PD-1000071,2026-03-24,23:19:08,043.321.819-60,(11) 991571945,Claro Empresas,Controle,E-COMMERCE,MG,CAMP-VIP,BLOQUEADO,499.9,1443.94,10,14.3,-30.1,8.79,0,619,0.725,1,Fraude de Cancelamento,0,0,CTR-28,,Em andamento,,126.1,2026-03,0,1814,5
PD-1000072,2025-04-24,23:19:08,430.391.171-82,(31) 997973915,Claro Móvel,TV HD,APP,CE,CAMP-VIP,APROVADO,499.9,0.0,16,10.6,50.9,4.47,0,584,0.32,0,,0,0,,Carlos M.,,,0.0,2025-04,0,1111,6
PD-1000073,2025-11-27,23:19:08,983.930.103-10,(61) 991188789,Claro Móvel,Controle,LOJA FÍSICA,CE,,APROVADO,29.9,0.0,1,9.0,-88.9,2.74,0,621,0.228,0,,0,0,,Carlos M.,,,0.0,2025-11,0,1346,2
PD-1000074,2025-06-29,23:19:08,112.849.718-59,(51) 999253343,NET,Pós-Pago,E-COMMERCE,RS,,APROVADO,99.9,0.0,14,9.0,55.6,2.01,0,811,0.087,0,,0,0,,Juliana S.,,,0.0,2025-06,0,1394,1
PD-1000075,2025-11-28,23:19:08,489.325.288-09,(61) 998197443,Claro TV,CNPJ Avançado,E-COMMERCE,SP-Capital,,APROVADO,149.9,0.0,9,5.6,60.7,11.67,0,557,0.205,0,,0,0,,,,,0.0,2025-11,0,847,4
PD-1000076,2025-09-18,23:19:08,969.028.249-83,(62) 992341247,Claro Residencial,Combo Família,LOJA FÍSICA,RJ,REC-100 - FPD,APROVADO,79.9,938.94,13,2.2,490.9,16.89,0,839,0.91,1,Conta Mula,0,0,CTR-28,Carlos M.,Aberta,2025-09-20,39.21,2025-09,0,1360,7
PD-1000077,2026-03-11,23:19:08,929.751.702-81,(51) 990416001,Claro Residencial,Pós-Pago,RETENÇÃO,BA,,APROVADO,99.9,0.0,11,8.3,32.5,9.32,0,816,0.083,0,,0,0,,Juliana S.,,,0.0,2026-03,0,831,5
PD-1000078,2025-11-03,23:19:08,482.073.651-18,(62) 993847505,Claro Móvel,CNPJ Avançado,RETENÇÃO,DF,,PENDENTE,149.9,0.0,7,15.0,-53.3,19.8,0,642,0.21,0,,0,0,,,,,0.0,2025-11,0,363,6
PD-1000079,2025-10-07,23:19:08,167.112.075-45,(31) 997414487,Claro TV,Fibra 1GB,TELEVENDAS B2C,DF,CAMP-VIP,APROVADO,149.9,0.0,1,7.2,-86.1,9.46,0,767,0.122,0,,0,0,,,,,0.0,2025-10,0,164,6
PD-1000080,2025-06-15,23:19:08,111.860.089-21,(62) 996561970,Claro Residencial,Combo Família,TELEVENDAS B2C,MG,,APROVADO,199.9,0.0,1,5.7,-82.5,11.28,0,810,0.013,0,,0,0,,Pedro R.,,,0.0,2025-06,0,1365,2
PD-1000081,2025-05-16,23:19:08,778.485.880-06,(21) 996436241,Claro Móvel,Pós-Pago,RETENÇÃO,PE,CAMP-VIP,APROVADO,79.9,0.0,3,10.6,-71.7,12.42,0,661,0.33,0,,0,0,,Juliana S.,,,0.0,2025-05,1,1440,3
PD-1000082,2026-02-13,23:19:08,065.240.778-48,(81) 993183910,Claro Móvel,Fibra 1GB,APP,DF,,BLOQUEADO,79.9,0.0,8,2.2,263.6,14.27,0,595,0.089,0,,0,0,,Ana L.,,,0.0,2026-02,1,643,6
PD-1000083,2025-03-31,23:19:08,778.528.922-68,(11) 992083077,Claro Residencial,Fibra 1GB,E-COMMERCE,CE,CAMP-VIP,BLOQUEADO,149.9,875.67,444,10.2,4252.9,1.94,0,578,0.765,1,Fraude de Alto Uso (SMS),0,0,CTR-30,Carlos M.,,2025-04-15,143.8,2025-03,0,950,1
PD-1000084,2026-03-23,23:19:08,537.953.816-49,(41) 998845994,Claro Empresas,CNPJ Básico,LOJA FÍSICA,MG,REC-100 - FPD,APROVADO,149.9,1728.54,2,14.8,-86.5,1.91,5,343,0.877,1,Chargeback,1,0,CTR-28,,Aberta,2026-04-04,33.95,2026-03,1,440,7
PD-1000085,2025-12-10,23:19:08,453.521.818-83,(61) 995890476,Claro Empresas,CNPJ Avançado,LOJA FÍSICA,RJ,PROMO-500 - Móvel,CANCELADO,199.9,2136.03,19,14.4,31.9,18.29,0,620,0.752,1,Fraude Corporativa,0,0,CTR-30,Ana L.,Fechada,,74.69,2025-12,1,795,2
PD-1000086,2025-04-25,23:19:08,474.367.136-95,(62) 994963914,NET,TV HD,APP,RS,CAMP-VIP,APROVADO,29.9,0.0,0,7.0,-100.0,8.56,0,511,0.014,0,,0,0,,Juliana S.,,,0.0,2025-04,0,1594,4
PD-1000087,2025-12-07,23:19:08,379.274.907-28,(11) 991334766,Claro TV,CNPJ Avançado,TELEVENDAS B2C,RJ,CAMP-VIP,PENDENTE,199.9,0.0,6,5.0,20.0,11.84,0,601,0.335,0,,0,0,,Juliana S.,,,0.0,2025-12,0,1554,3
PD-1000088,2025-09-09,23:19:08,058.721.055-24,(81) 992418271,Claro Móvel,Plano Família,TELEVENDAS B2C,CE,PROMO-500 - Móvel,APROVADO,79.9,869.89,6,5.4,11.1,19.72,0,262,0.675,1,Fraude de Subscrição,1,3,CTR-28,,Aberta,,135.68,2025-09,0,1596,3
PD-1000089,2025-07-17,23:19:08,127.238.046-82,(81) 995816664,Claro TV,Fibra 500MB,E-COMMERCE,BA,,APROVADO,29.9,147.04,20,6.9,189.9,18.01,0,727,0.844,1,Fraude de Subscrição,0,0,CTR-53,,,,56.17,2025-07,1,239,2
PD-1000090,2025-10-13,23:19:08,083.044.058-09,(41) 995867489,NET,Plano Família,TELEVENDAS B2C,SP-Interior,,APROVADO,499.9,0.0,10,13.9,-28.1,19.2,0,539,0.012,0,,0,0,,,,,0.0,2025-10,0,1113,8
PD-1000091,2026-01-09,23:19:08,041.454.563-50,(31) 990686005,Claro Residencial,Pós-Pago,TELEVENDAS B2C,SP-Capital,REC-200 - Automático,BLOQUEADO,99.9,0.0,13,6.5,100.0,6.92,0,526,0.212,0,,0,0,,Carlos M.,,,0.0,2026-01,0,290,8
PD-1000092,2025-09-23,23:19:08,384.979.162-02,(31) 994037972,Claro Empresas,Pré-Pago,E-COMMERCE,RJ,REC-100 - FPD,CANCELADO,49.9,99.76,19,13.7,38.7,3.4,0,761,0.953,1,Conta Mula,0,0,CTR-28,Ana L.,,,41.97,2025-09,0,1246,3
PD-1000093,2025-09-22,23:19:08,157.473.384-84,(31) 991832517,Claro Empresas,Pós-Pago,APP,DF,REC-100 - FPD,APROVADO,49.9,326.07,11,7.1,54.9,11.75,0,350,0.896,1,Conta Mula,1,5,CTR-61,,Fechada,,98.11,2025-09,0,343,2
PD-1000094,2026-01-04,23:19:08,487.699.842-67,(41) 992212456,Claro Empresas,Controle,E-COMMERCE,SP-Capital,,APROVADO,99.9,0.0,7,11.7,-40.2,10.1,0,643,0.273,0,,0,0,,,,,0.0,2026-01,0,1042,8
